Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
NLOK,2013-03-01,-432.0,-308.0,-1.0,1694.0,1311.0,-564.4,-550.4,-0.39,4.82
WDC,2018-06-01,278.0,768.0,-1019.0,695.0,448.0,-46.4,-89.3,1.42,-11.19
DEO,2019-06-01,24.5,54.3,1176.2,-917.9,331.2,-70.7,56.4,0.02,28.31
AAL,2019-12-01,274.0,282.0,-270.0,104.0,116.0,-754.9,-730.5,-0.56,-3.43
INTC,2019-12-01,-5.0,3713.0,-3166.0,1042.0,1589.0,4361.9,4375.0,0.74,12.92
ABMD,2018-03-01,60.1,77.4,-54.5,-13.0,13.1,27.8,27.8,1.6,165.79
TXT,2018-12-01,915.0,171.0,1265.0,-1504.0,-119.0,-55.4,-61.6,1.02,-10.6
ATNI,2017-12-01,19.4,34.0,124.3,-117.4,41.7,-114.9,-112.8,-0.61,-24.87
PRGO,2018-12-01,11.4,-105.9,-2464.9,2432.8,-184.0,-612.6,-640.1,-1.5,-48.41
HPQ,2017-10-01,30.0,425.0,-1765.0,13194.0,11854.0,-10023.9,-10001.4,0.31,7.06
ODFL,2012-12-01,30.0,50.2,-115.9,-67.7,-133.4,-46.7,-48.2,-0.56,4.84
JCI,2012-09-01,-231.0,483.0,845.0,-1032.0,311.0,-717.3,-685.4,-0.03,8.01
KT,2017-12-01,-184.8,-318.3,-377.3,-496.4,-1193.6,-607.9,-605.3,-2.08,0.74
CL,2011-12-01,228.0,-315.0,-555.0,1382.0,498.0,155.2,150.7,-0.27,6.01
HWKN,2014-03-01,1.0,-0.9,7.3,-1.8,4.7,9.5,9.5,1.28,-3.21
