Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4
NUE,-2.717682123,0.936656773,-0.655738413,2.750315189,-1.88350153
NVDA,-3.313959122,-1.290683031,0.22089693,-0.234679371,-1.321531773
NVR,0.040878613,0.523704886,-0.298755765,0.014329413,-2.389466524
NWL,2.345414639,1.035338521,-2.78437829,0.215987876,-5.755666256
NXST,-2.6503582,-1.47071743,-1.309601426,1.430008292,2.326160431
NYT,-7.973066807,-5.42820549,0.428888798,3.222737551,3.50187254
ODFL,2.972964525,-3.951237679,0.349011064,-0.255213737,-2.359778643
OGE,-0.850879252,1.581865072,-2.327459097,1.324262738,-2.274003983
OII,1.400001407,-0.10209664,-3.890034199,-0.945549488,-1.795145631
OKE,1.606500864,-1.004100204,-3.818718195,-1.402361393,-1.17201221
OMC,-3.848140478,1.208382964,-6.284351826,5.208875656,3.281901836
ORAN,-5.057771206,-0.877004087,-1.695435047,0.279822677,0.610147476
ORCL,-5.611215591,0.446129799,-2.084730625,0.673453629,-1.917668819
ORLY,2.306026459,-3.81303525,0.944200277,-0.093268357,-2.346665859
OXY,2.662777662,0.47011444,-3.307097673,0.090902351,-2.786417246
PAAS,-2.25945878,1.131467938,-1.101617932,4.520664215,-1.353685975
PAYX,-1.611910939,0.382123947,-1.465903044,-1.339066386,-2.073440075
PCAR,0.983097374,0.72661674,-0.086104758,3.561578751,-3.495415449
PEG,-0.275931805,1.502129197,-2.272232294,1.424591541,-2.214779854
PEIX,2.935660124,-2.077430248,-2.06498003,-1.128178,-1.59811902
PEP,1.731312275,-2.256146908,-1.182269335,1.95824945,1.040859699
PFE,2.946570158,-1.265057921,-1.531028628,-0.672504961,-3.00174284
PFG,0.515037477,-1.569394469,-2.052308321,-3.260092258,-2.772530317
PG,1.050099611,-1.383628726,1.30196166,0.906520128,-3.780409336
PGR,0.729679763,0.508130252,-2.045081854,-1.290718913,-3.317102671
PH,-0.072585426,-0.696048439,-0.05954051,0.480756581,-0.544890285
PHM,-0.019895904,0.538460255,-0.314999759,-0.001062287,-2.326359749
PKG,-0.751112521,-0.812227845,0.517160654,0.533528864,-1.143147111
PKI,-0.817701221,-2.030535936,-1.672191739,-2.302671194,-0.790872395
PKX,-2.711571455,0.940997899,-0.656363785,2.809963226,-1.965012193
PM,-1.560720205,-1.704868078,1.168166995,6.131958485,-1.038605094
PNR,-0.07972642,-0.683559,-0.070152715,0.471682698,-0.562434256
PNW,-0.928794146,1.484002829,-2.205980778,1.21152997,-2.152984619
POR,-0.855261147,1.60136497,-2.374062061,1.333720565,-2.374999762
PPG,1.497664213,0.005023083,-1.551292419,0.706172168,-1.122207642
PPL,-0.92751044,1.578719139,-2.38431406,1.285866857,-2.245112896
PRGO,3.127697229,-1.35070312,-1.552665472,-0.589999437,-3.059618711
PRU,0.68116045,-1.671870708,-1.98821497,-3.203341722,-2.729257345
PSMT,0.269123644,-4.562022209,0.265832335,1.847110987,1.686499
PVH,-2.46890378,-2.764166594,1.672502875,1.0392555,-1.235851049
PWR,1.972113132,0.496114254,0.497673661,5.529364109,-6.649083138
PXD,1.097519755,-0.132688299,-3.54709053,-0.798244715,-1.291223764
