Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
ECL,2014-12-01,-209.1,-181.8,-27.3,-1.5,0.01,446.0,1.42,-356.3,-226.7,1027.1,263.0,3.4,0.78,0.51,0.19,274.9,263.0,152.7,235.0,255.8,1239.4,-778.4,689.0,86.9,85.5,0.41,0.25
ITW,2016-12-01,-528.0,441.0,-969.0,-17.2,-2.1,-992.0,-2.96,407.0,1025.0,194.0,195.0,1.87,0.57,0.57,0.33,188.0,195.0,145.0,136.0,3.0,-322.0,271.0,282.0,327.0,333.9,0.24,29.78
MO,2015-12-01,-3016.0,-2881.0,-135.0,-10.8,-0.06,-113.0,-0.1,-1846.0,-894.0,909.0,775.0,0.54,0.11,0.19,0.17,776.0,775.0,321.1,171.0,1180.0,-192.0,-2086.0,-1098.0,1872.9,1850.4,0.58,8.94
FAST,2015-12-01,173.4,287.3,-113.9,-15.0,-0.13,-113.9,-0.13,275.0,260.5,135.7,40.8,0.34,0.06,0.05,0.06,40.7,40.8,23.9,22.2,50.9,8.2,-91.2,-41.4,103.6,105.0,0.16,-3.37
A,2011-10-01,-639.0,-1719.0,1080.0,0.5,3.11,1034.0,2.98,-1506.0,-2387.0,1171.0,339.0,3.37,0.95,0.55,0.0,375.0,339.0,188.8,328.0,542.0,2468.0,-2294.0,708.0,3284.1,3277.9,1.37,1.62
ALL,2011-12-01,-5681.0,-4963.0,-718.0,-31.5,0.84,-1086.0,0.0,-578.0,-792.0,1254.0,-104.0,4.59,-0.18,-0.08,0.04,-104.0,-104.0,-63.1,-124.0,-1760.0,3829.0,-1805.0,264.0,2346.0,2346.0,-3.3,-4.47
GPC,2014-12-01,565.9,612.4,-46.4,-1.0,-0.22,-145.0,-0.89,13.0,72.2,1263.8,49.0,9.04,0.21,0.23,0.15,56.9,49.0,29.7,26.3,-266.6,438.9,-30.3,147.0,-37.0,-38.2,-1.58,23.38
MNST,2013-12-01,377.2,29.3,347.9,4.0,0.68,336.8,0.66,0.0,-294.0,185.7,34.1,0.54,0.03,0.06,0.0,34.0,34.1,17.0,-1.3,54.3,-611.6,681.2,125.6,75.6,75.7,0.12,4.98
HFC,2014-12-01,-826.7,-318.0,-508.7,-3.2,-2.02,-471.9,-2.16,56.1,679.2,-396.3,-730.6,-0.39,-2.24,-2.24,0.06,-730.6,-730.6,-454.6,-454.5,-110.6,234.4,321.6,445.5,-348.3,-363.6,-1.24,-10.14
ED,2018-12-01,5809.0,4395.0,1414.0,10.7,2.37,-227.0,-2.35,4111.0,4013.0,304.0,-247.0,0.4,-0.54,-0.75,0.1,-242.0,-247.0,-215.0,-143.0,-672.0,-1761.0,2581.0,148.0,-826.9,-769.3,-2.89,-8.49
