Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
CPYYY,2016-12-01,26980.3,23475.6,3504.7,5479.5,0.60,-2115.9,-0.39,8088.9,5563.9,33398.2,1647.6,6.28,0.39,0.17,0.15,1737.6,1647.6,889.6,2060.4,2952.6,-989.5,-672.8,1355.5,59.2,318.7,0.36,11.53
MRK,2013-12-01,105645.0,53319.0,52326.0,2940.6,17.00,13663.0,4.67,25085.0,7599.0,44033.0,9257.0,14.86,1.49,1.85,1.72,14057.0,9257.0,5478.9,4404.0,11654.0,-3148.0,-5990.0,2170.0,10255.0,10755.6,3.41,50.05
DLTR,2014-02-01,2771.9,1601.2,1170.7,206.2,5.62,998.9,4.80,769.8,502.1,7840.3,970.8,35.95,2.74,2.74,0,970.8,970.8,596.8,596.7,794.1,-325.0,-597.8,-132.2,468.6,478.3,2.13,54.77
EIX,2014-12-01,49734.0,36746.0,12988.0,325.8,33.64,10960.0,33.64,12029.0,11897.0,13413.0,2629.0,41.14,4.94,3.89,1.48,2629.0,2629.0,1268.0,1612.0,3248.0,-3907.0,645,-14.0,-1477.9,-1057.9,-2.02,65.48
WAB,2015-12-01,3229.5,1528.2,1701.3,91.9,18.51,400.5,4.36,696.7,470.5,3308.0,607.6,34.43,4.14,3.81,0.28,629.2,607.6,365.9,398.6,450.8,-380.1,-251.5,-199.7,235,245.6,4.18,71.12
GRMN,2017-12-01,4948.3,1095.9,3852.4,188.2,20.47,3442.6,18.29,0,-1053.2,3121.6,683.6,16.62,3.77,2.32,2.04,710.0,683.6,436.1,709.0,660.8,-194.4,-448.4,44.8,271.9,271.9,2.71,59.57
NVR,2017-12-01,2989.3,1383.8,1605.5,3.7,434.97,1555.3,421.39,597.1,-49.1,6320.2,869.9,1693.07,143.99,141.79,0,869.9,869.9,529.3,537.5,570.4,-15.2,-281.6,273.5,417.6,432,147.36,3508.22
LUV,2012-12-01,18596.0,11604.0,6992.0,728.1,9.57,5884.0,8.06,3191.0,221,17088.0,838,22.78,0.56,0.57,0.03,863,838,424.4,421,2064.0,-833.0,-947.0,284,391,469.8,0.95,10.24
PVH,2015-02-01,10824.9,6460.6,4364.3,82.5,52.89,-2676.4,-32.44,3546.5,3067.2,8241.2,824.0,100.01,5.33,4.90,0.15,824.0,824.0,403.6,439.0,789.1,-357.7,-514.5,-113.9,421.5,511.2,6.47,106.53
EIG,2015-12-01,3755.8,2995.0,760.8,32.2,23.62,716.1,22.23,32.0,-24.6,752.1,102.1,23.45,2.94,1.94,0.24,102.6,102.1,62.1,94.4,116.4,-101.2,-62.2,-47.0,82.4,84.1,3.27,27.3
MTD,2016-12-01,2166.8,1731.8,434.9,25.9,16.72,-208.5,-8.01,894,735.4,2508.3,546.9,94.59,14.49,12.25,0,555.5,546.9,324.8,384.4,460.8,-231.5,-163.6,59.8,267.6,285.1,12.70,418.56
BSX,2018-12-01,20999.0,12273.0,8726.0,1386.0,6.30,-5557.0,-4.01,7100.0,6954.0,9823.0,1724.0,7.11,1.21,0.67,0,2323.0,1724.0,928.1,1671.0,310,-1921.0,1432.0,-188.0,532.9,683.5,-0.00,35.34
LYV,2018-12-01,8496.9,6824.8,1672.1,208.8,5.27,-1754.3,-8.40,2815.0,443.5,10787.8,307.5,52.00,-0.09,0.36,0,498.2,307.5,73.7,60.2,941.6,-496.9,188.8,549.4,639.8,707.6,3.21,49.25
NEWT,2015-12-01,352.4,148.5,203.9,14.5,14.06,190.9,13.16,132.8,128.5,26.1,0.3,2.42,3.32,-0.43,1.76,0.3,0.3,-4.7,35.7,-38.0,0.3,24.1,-13.5,-33.7,-31.0,-3.50,14.32
