Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
HES,2010-12-01,35396.0,18587.0,16809.0,334.8,49.84,14281.0,42.65,5583.0,3975.0,33862.0,2921.0,103.87,6.52,3.99,0.40,2921.0,2921.0,1301.4,2125.0,4530.0,-5259.0,975,246,-347.0,-121.4,-2.95,76.54
CPRT,2014-07-01,1506.8,503.3,1003.5,252.5,3.98,671.4,2.66,304.6,145.9,1163.5,315.5,4.63,0.71,0.77,0,322.4,315.5,193.2,178.7,262.6,-92.1,-76.8,95,193.6,199.1,0.72,16.69
STX,2015-07-01,9845.0,6827.0,3018.0,302.0,9.57,1774.0,5.62,4155.0,1670.0,13739.0,1471.0,42.40,5.38,2.55,2.05,1623.0,1471.0,825.6,1742.0,2650.0,-1287.0,-1495.0,-152.0,1143.0,1272.4,5.87,50.6
ALB,2013-12-01,3584.8,1842.0,1742.8,79.5,20.33,1255.0,15.68,1078.9,601.6,2394.3,610.0,28.56,4.93,4.18,0.96,614.6,610.0,350.5,413.2,432.9,-157.7,-288.0,-0.5,275.1,294.8,3.31,63.39
PXD,2017-12-01,17003.0,5724.0,11279.0,170.3,66.24,11004.0,64.66,2732.0,623,5294.0,502,31.14,4.86,1.43,0.08,521,502,242.5,833,2099.0,-1792.0,-529.0,-222.0,-192.5,-96.3,-1.56,172.85
LEG,2011-12-01,2915.1,1607.4,1307.7,140.0,9.31,257.7,1.85,868.2,631.9,3618.9,275.9,24.89,1.05,1.05,1.10,293.6,275.9,152.1,153.3,328.9,-36.6,-303.6,-8.2,207.6,230.4,1.75,23.04
TSCO,2010-12-01,1463.5,530.2,933.2,145.6,6.41,923,6.34,1.4,-271.8,3638.3,267.3,25.06,1.16,1.15,0.14,267.3,267.3,166.3,168.0,222.6,-112.1,-26.0,84.5,110.7,111.5,0.87,24.25
AEP,2015-12-01,61683.1,43778.2,17904.9,491.1,36.44,17837.4,36.32,20716.2,20424.0,16453.2,3333.5,33.55,4.17,3.42,2.15,3336.5,3333.5,1674.9,2047.1,4818.5,-4023.8,-789.4,5.3,-364.3,181.9,0.43,58.27
GPS,2014-02-01,7849.0,4787.0,3062.0,447.0,6.87,2783.0,6.24,1394.0,-116.0,16148.0,2122.0,35.03,2.78,2.84,0.70,2122.0,2122.0,1308.8,1280.0,1705.0,-624.0,-1004.0,50,1048.1,1086.3,2.25,43.75
GRMN,2013-12-01,4879.6,1219.9,3659.7,195.2,18.75,3440.2,17.63,0,-1329.0,2631.9,574.0,13.47,3.13,2.07,1.80,604.4,574.0,404.3,612.4,630.1,-274.4,-406.8,-52.0,284.5,284.5,2.93,46.19
MCO,2019-12-01,10265.0,9428.0,837,187.4,3.26,-4608.0,-24.55,6155.0,4225.0,4829.0,2071.0,25.51,7.51,6.23,2.00,2174.0,2071.0,1179.9,1422.0,1675.0,36,-1563.0,147,1446.0,1555.4,8.48,237.41
CMC,2012-08-01,3441.2,2194.7,1246.5,116.4,10.71,1144.3,9.83,1281.7,1019.3,7656.4,234.9,66.08,1.79,0.89,0.48,240.8,234.9,103.4,207.5,196,-27.4,-121.7,40,79.8,123.2,0.71,12.74
HHS,2013-12-01,685.5,336.5,349.1,6.3,55.77,-51.4,-8.21,98.5,9.7,559.6,45.4,89.53,2.14,4.15,3.40,45.6,45.4,25.9,13.4,59.6,10.4,-30.0,39.4,94.2,96,6.99,78.2
ILMN,2011-01-01,1839.1,641.4,1197.7,127.6,9.46,828,6.54,311.6,-582.7,902.7,206.8,7.30,1.01,0.97,0,214.6,206.8,119.3,124.9,272.6,-285.1,116.5,104.3,188.3,182.3,1.75,69.34
LEG,2017-12-01,3550.8,2360.0,1190.8,132.2,9.02,200.7,1.52,1251.7,725.6,3943.8,444.3,29.00,2.15,1.90,1.42,465.0,444.3,258.7,292.6,443.7,-165.0,-64.5,244.2,176.8,194.1,2.09,47.73
ATVI,2016-12-01,17452.0,8333.0,9119.0,751.8,12.23,-2561.0,-3.44,4887.0,1642.0,6608.0,1459.0,8.93,1.30,1.05,0.30,2167.0,1459.0,778.1,966,2155.0,-4729.0,500,-2130.0,1994.3,2108.9,2.73,36.11
PM,2017-12-01,42968.0,53198.0,-10230.0,1553.2,-7.78,-22184.0,-14.28,34339.0,25892.0,28748.0,11503.0,18.52,3.88,4.09,4.22,11591.0,11503.0,6349.0,6035.0,8912.0,-3083.0,-2769.0,4145.0,5907.4,6592.4,4.74,105.65
GPRE,2012-12-01,1349.7,859.2,490.5,30.5,16.51,449.6,15.14,663.3,409,3476.9,17.8,114.76,0.39,-0.45,0,17.8,17.8,-13.7,11.8,-13.7,81.4,11.6,79.3,24.1,44.4,-1.34,7.91
NYT,2017-12-01,2099.8,1202.4,897.4,164.8,5.53,753.7,4.65,250.2,-241.3,1658.6,211.4,10.24,0.03,0.80,0.16,211.4,211.4,128.9,4.3,86.7,14.1,-26.0,75.4,110.2,128.7,0.01,18.5
ISRG,2018-12-01,7846.7,1159.2,6687.5,114.5,58.33,6371.5,55.65,0.0,-3063.1,3724.2,1244.6,32.75,9.92,7.32,0,1258.8,1244.6,832.0,1127.9,1169.6,-1049.6,126.3,246.2,719.8,719.8,8.64,478.92
FMC,2012-12-01,4373.9,2819.1,1554.8,137.7,10.75,964.2,7.00,964.4,887.3,3409.9,708.7,24.76,3.01,2.89,0.41,714.5,708.7,397.6,416.2,359.7,-393.6,-48.2,-81.8,184.2,209.7,1.32,50.71
HBI,2016-01-01,5597.6,4321.7,1275.9,391.7,3.26,-258.9,-0.66,2603.3,2284.1,5731.5,870.4,14.33,1.07,1.16,0.40,894.2,870.4,462.5,428.9,227.0,-276.8,133,79.3,243.7,310.4,0.32,30.57
USM,2019-12-01,8164.0,3943.0,4221.0,86.1,48.80,1726.0,20.07,2480.0,2195.0,4022.0,130,46.77,1.48,1.41,0,144,130,120.9,127,724.0,-864.0,-152.0,-292.0,-269.5,-200.8,-2.23,36.23
BP,2017-12-01,276515.0,176111.0,100404.0,19806.1,4.97,68564.0,3.46,63536.0,37825.0,238433.0,8623.0,12.11,0.17,0.32,0.40,8623.0,8623.0,6399.8,3389.0,18931.0,-14077.0,-3296.0,2102.0,6082.3,6970.4,0.12,42.02
AIG,2014-12-01,515581.0,408309.0,107272.0,1372.4,77.69,105444.0,76.63,31217.0,29459.0,63587.0,12031.0,44.53,5.27,4.53,0.50,12031.0,12031.0,6465.0,7529.0,5007.0,14284.0,-19788.0,-483.0,27609.6,28683.4,3.51,56.01
DISCA,2019-12-01,33735.0,21769.0,11966.0,687.9,14.29,-15131.0,-21.87,16372.0,14809.0,11144.0,3283.0,17.27,2.86,2.28,0,4383.0,3283.0,1469.8,2069.0,3399.0,-438.0,-2357.0,566,5539.9,5989.9,4.82,32.74
MCD,2019-12-01,47510.8,55721.1,-8210.3,745.4,-11.00,-10887.7,-14.59,47556.0,46657.5,21076.5,8890.7,27.80,7.95,6.59,4.73,8890.7,8890.7,4995.5,6025.4,8122.1,-3071.1,-4994.8,32.5,4684.6,5385.8,7.56,197.61
HFC,2012-12-01,10329.0,3686.3,6642.7,202.7,29.86,3685.9,18.18,1339.7,-1048.6,20090.7,2884.1,98.30,8.41,8.36,0.60,2886.1,2884.1,1709.4,1727.2,1662.7,-711.1,-772.8,178.8,1496.3,1561.4,6.49,42.83
WAT,2019-12-01,2557.1,2773.3,-216.3,62.2,-3.46,-812.6,-12.98,1775.2,1438.0,2406.6,716.8,35.59,8.76,6.36,0,768.3,716.8,430.1,592.2,643.1,768.8,-1872.7,-460.6,365.3,395.7,7.09,233.65
ALB,2018-12-01,7581.7,3822.6,3759.1,105.8,33.95,1632.0,15.45,1705.2,1149.9,3375.0,755.0,31.13,6.40,4.19,1.34,782.9,755.0,453.9,693.6,546.2,-303.7,-786.5,-582.0,-50.8,-18.1,-1.42,77.07
ATVI,2011-12-01,13277.0,2785.0,10492.0,1122.9,9.26,2786.0,2.46,0,-3525.0,4755.0,1366.0,4.14,0.93,0.75,0.18,1438.0,1366.0,855.6,1085.0,952,266,-808.0,353,922.3,924.8,0.77,12.32
ITW,2016-12-01,15201.0,10942.0,4259.0,346.6,12.26,-1767.0,-5.09,7829.0,5357.0,13599.0,3064.0,38.31,5.73,5.16,2.40,3288.0,3064.0,1833.1,2035.0,2302.0,-532.0,-2255.0,-618.0,2247.9,2396.0,5.72,122.46
STE,2011-03-01,1426.7,638,788.7,59.2,13.32,468.8,7.93,210,17,1207.4,106.4,20.36,0.86,1.00,0.56,113.0,106.4,59.4,51.3,117.7,-97.0,-47.9,-22.0,42.4,49.9,0.68,34.54
ARTNA,2014-12-01,422.2,296.6,125.6,8.9,14.09,125.6,14.09,124.8,124.6,72.5,22.4,8.16,1.07,1.12,0.85,22.4,22.4,9.9,9.5,18.5,-23.7,5,-0.2,-12.1,-7.5,-0.59,22.59
HAIN,2012-06-01,1673.6,709,964.6,89.9,10.73,-48.3,-0.54,390.6,360.7,1378.2,144.9,15.53,0.89,0.91,0,152.9,144.9,80.4,79.2,122.0,-270.7,147.4,2.4,56.1,66,1.14,27.52
A,2015-10-01,7479.0,3309.0,4170.0,332.2,12.57,1356.0,4.09,1655.0,-348.0,4038.0,525,12.13,1.20,0.91,0.40,683,525,301.9,401,1322.0,-400.0,-1089.0,-215.0,1388.9,1430.1,3.68,37.76
MKC,2012-11-01,4165.4,2465.2,1700.2,132.7,12.70,-335.9,-2.54,1171.9,1076.2,4014.2,580.0,30.25,3.07,2.59,1.24,584.3,580.0,343.3,407.8,455.0,-109.0,-324.3,25.1,325.5,359.6,2.60,64.56
PPG,2013-12-01,15863.0,10665.0,5198.0,277.0,17.79,585,2.11,3406.0,1656.0,14265.0,1550.0,49.74,11.27,2.69,1.21,1669.0,1550.0,771.8,3231.0,1791.0,3,-1979.0,-190.0,1020.3,1142.8,4.52,94.83
FAST,2019-12-01,3799.9,1134.3,2665.6,574.2,4.64,2665.6,4.64,590.6,415.7,5333.7,1056.0,9.31,1.38,1.14,0.87,1060.1,1056.0,651.6,790.9,842.7,-239.7,-595.1,7.7,435.9,444.6,1.04,36.95
MTRN,2013-12-01,777.9,314.6,463.3,20.6,22.18,348.6,16.69,64.8,42.1,1166.9,34.4,56.72,0.98,1.00,0.32,39.9,34.4,20.5,20.2,75.9,-32.6,-36.2,6.7,40.5,41.7,2.10,30.85
HAS,2011-12-01,4130.8,2713.3,1417.5,128.6,11.02,475.4,3.70,1581.3,920,4285.6,608.4,32.02,2.88,2.36,1.20,655.0,608.4,315.6,385.4,396.1,-107.6,-375.7,-86.1,359.2,414.8,2.13,31.89
K,2015-01-01,15153.0,12302.0,2851.0,356.6,7.83,-4477.0,-12.58,7370.0,6927.0,14580.0,1362.0,40.73,1.77,2.02,1.90,1371.0,1362.0,722.1,632,1793.0,-573.0,-1063.0,170,901.6,1032.3,3.38,65.58
MSFT,2012-06-01,121271.0,54908.0,66363.0,8383.4,7.92,49741.0,5.93,12775.0,-49269.0,73723.0,27956.0,8.78,2.02,2.08,0.80,28514.0,27956.0,17488.1,16978.0,31626.0,-24786.0,-9408.0,-2672.0,23625.0,23862.5,3.49,30.59
NEWT,2016-12-01,401.5,192.4,209.1,17.2,14.30,192.8,13.19,171.2,169.2,31.0,-0.8,2.13,1.88,-0.50,1.53,-0.8,-0.8,-7.2,27.3,-14.1,-0.4,10.2,-4.3,23.2,27.2,-1.00,15.9
USNA,2018-12-01,554.5,163.3,391.1,23.3,16.60,342.5,14.53,0.0,-277.9,1189.2,188.4,49.34,5.24,4.97,0,189.9,188.4,119.7,126.2,152.1,-69.0,-105.3,-33.3,124.1,124.1,5.84,117.73
APH,2014-12-01,6985.9,4048.0,2937.9,310.2,9.38,2.9,0.01,2656.2,1326.6,5345.5,1048.7,17.07,2.26,1.95,0.45,1085.3,1048.7,610.5,709.1,880.9,-781.9,14.1,82.1,583.9,634.1,2.15,53.81
STZ,2013-02-01,7638.1,4777.8,2860.3,185.7,15.48,-733.4,-3.97,3352.5,3017.7,2796.1,560.2,15.35,2.13,1.93,0,567.4,560.2,351.7,387.8,556.3,-206.8,-98.7,245.7,289.1,413.7,2.71,44.24
SOHU,2019-12-01,2689.8,1382.9,1306.9,39.3,10.91,364.1,9.27,162.4,-1459.5,1845.4,11.6,47.02,-3.80,-2.62,0,51.2,11.6,-102.7,-149.3,210.6,-443.2,-513.2,-755.8,35.8,44.8,2.90,11.18
DE,2015-11-01,57947.6,51190.0,6757.6,316.7,21.29,5614.8,17.73,36909.4,33583.7,28780.8,2615.1,86.27,5.81,5.10,2.40,2625.1,2615.1,1702.2,1940.0,3758.8,-1058.7,-2137.6,375.2,2857.4,2998.0,2.80,79.57
EA,2020-03-01,11112.0,3651.0,7461.0,288.7,25.87,5523.0,19.15,1220.0,-4515.0,5537.0,1450.0,18.90,10.37,3.23,0,1484.0,1450.0,945.6,3039.0,1797.0,-1357.0,-1358.0,-940.0,1120.8,1146.3,5.66,100.17
HSIC,2016-12-01,6760.4,3352.0,3408.4,158.4,17.59,117.9,0.74,1218.9,1156.5,11571.7,817.5,71.59,3.14,2.86,0,915.7,817.5,463.0,506.8,642.6,-316.4,-327.3,-9.7,543.7,563.6,3.54,59.46
CERN,2016-01-01,5562.0,1691.6,3870.4,340.0,11.38,1820.6,5.36,605.2,92,4352.5,873.1,12.68,1.57,1.59,0,989.1,873.1,545.9,539.4,1039.9,-1405.9,143.8,-233.1,199.7,207.1,1.14,58.01
IVZ,2013-12-01,19270.5,10293.2,8977.3,433.2,19.38,261.6,0.60,1624.3,248.3,4644.6,1140.2,10.75,2.10,1.79,0.90,1157.3,1140.2,773.5,940.3,780.2,-239.9,-59.3,495.7,-281.9,-177.0,1.60,36.4
AME,2011-12-01,4319.5,2266.7,2052.8,240.7,8.53,-736.4,-3.06,1263.9,1089.0,2989.9,635.9,12.44,1.60,1.45,0.16,673.5,635.9,347.9,384.5,508.6,-526.5,31.9,7.2,367.9,411.5,1.90,28.07
HAL,2010-12-01,18297.0,7910.0,10387.0,913.4,11.40,9058.0,9.95,3824.0,1773.0,17973.0,3009.0,19.79,2.02,1.84,0.36,3009.0,3009.0,1671.8,1835.0,2212.0,-1755.0,-1114.0,-684.0,-76.9,115.6,0.16,40.83
SBOW,2013-12-01,2698.5,1633.2,1065.4,43.5,24.55,1065.4,24.55,1142.4,1139.1,585.2,116.5,13.51,-0.06,0.68,0,122.7,116.5,29.5,-2.4,311.4,-533.4,225,3.1,-245.4,-202.7,-5.28,13.5
GASS,2013-12-01,851,378.4,472.6,35.5,14.74,472.6,14.74,356.1,269.9,121.5,29.1,4.30,0.75,0.47,0,29.1,29.1,13.3,21.2,49.1,-119.8,114.6,43.9,-75.1,-70.8,-2.66,10.19
INTC,2012-12-01,84351.0,33148.0,51203.0,4946.0,10.36,35258.0,7.13,13568.0,-4627.0,53341.0,14638.0,10.68,2.20,1.84,0.87,15803.0,14638.0,9212.5,11005.0,18884.0,-14060.0,-1408.0,3413.0,4475.5,4531.8,1.41,20.62
BKNG,2016-12-01,19839.0,10018.8,9820.1,49.2,199.64,5384.1,109.46,7169.3,2869.3,10743.0,3847.0,217.07,43.14,46.94,0,4016.0,3847.0,2323.1,2135.0,3984.0,-3333.0,-1.0,604,2897.2,2950.2,75.08,1466.06
FCX,2011-12-01,32070.0,13517.0,18553.0,948.4,16.50,15317.0,16.16,3537.0,-1285.0,20880.0,9140.0,22.05,4.82,4.62,1.00,9286.0,9140.0,4376.8,4560.0,6620.0,-2535.0,-3001.0,1084.0,4418.5,4613.5,4.31,35.34
TMO,2014-12-01,42852.1,22304.0,20548.1,396.8,51.31,-12404.6,-30.98,14567.7,13224.2,16889.6,2284.5,42.41,4.76,2.92,0.60,3616.2,2284.5,1162.3,1894.4,2619.6,-11782.7,4796.1,-4482.5,2349.2,2649.1,5.50,125.29
MCO,2011-12-01,2876.1,2974.0,-97.9,222.9,-0.76,-1065.5,-4.79,1248.3,473.5,2280.7,896.4,10.08,2.52,2.31,0.54,916.9,896.4,523.3,571.4,803.3,-267.6,-417.7,100.4,746.3,785.3,3.25,33.68
INT,2012-12-01,4107.8,2566.1,1541.6,72.2,21.03,841.6,11.67,380.3,207.6,38945.3,257.0,547.34,2.66,1.94,0.15,275.1,257.0,137.7,189.3,145.8,-246.6,66.9,-32.7,93.5,106,1.65,41.17
TROW,2011-12-01,3770.3,349.6,3420.7,253.5,13.51,2755.0,10.88,0.0,-902.3,2750.2,1230.0,10.76,3.01,3.06,1.24,1230.4,1230.0,781.6,773.2,948.4,-165.0,-698.6,84.8,861.8,863.8,3.39,54.71
ABMD,2018-03-01,786.4,96.9,689.5,44.5,15.54,653.7,14.73,0.0,-362.2,593.7,158.5,13.45,2.54,2.29,0,158.5,158.5,101.1,112.2,192.5,-180.8,-9.1,3.9,75.4,75.4,3.10,290.99
FLO,2013-12-01,2504.0,1427.8,1076.2,208.6,5.16,137.1,0.66,940.1,931.6,3732.6,301.6,17.95,1.11,0.87,0.44,313.3,301.6,180.4,230.9,270.5,-502.9,227.7,-4.7,192.9,210.9,0.82,21.47
PHM,2010-12-01,7699.4,5564.2,2135.2,382.0,5.59,1719.2,4.50,3455.3,1874.1,4569.3,-283.8,12.07,-2.90,-0.45,0,-270.7,-283.8,-171.4,-1096.7,592.1,-19.5,-949.7,-377.0,0.2,1.9,1.52,7.52
HRB,2015-04-01,4515.4,2682.5,1832.9,275.3,6.66,959,3.48,540.1,-1906.7,3078.7,794.7,11.19,1.72,1.69,0.80,853.2,794.7,465.2,473.7,626.6,-148.9,-645.8,-178.1,501.1,529.4,1.83,30.24
DGICA,2017-12-01,1737.9,1289.2,448.7,28.2,15.95,442.1,15.71,64.0,26.2,739.0,13.7,27.00,0.26,0.28,0.49,13.7,13.7,7.6,7.1,81.0,-58.4,-9.3,13.2,71.9,72.9,2.92,17.3
LOW,2015-01-01,31721.0,21753.0,9968.0,951.7,10.38,9968.0,10.38,11358.0,10767.0,56223.0,4834.0,56.91,2.71,2.73,0.87,4834.0,4834.0,2698.8,2698.0,4929.0,-1088.0,-3761.0,75,4334.4,4661.3,4.10,67.76
JNJ,2019-12-01,157728.0,98257.0,59471.0,2634.7,22.59,-21811.0,-8.29,28681.0,8702.0,82059.0,21070.0,31.02,5.72,4.99,3.75,25570.0,21070.0,13206.9,15119.0,23416.0,-6194.0,-18015.0,-802.0,24413.0,24611.8,7.53,145.87
OKE,2012-12-01,15855.3,11622.8,4232.5,205.0,10.39,1133.4,5.53,7343.4,6753.8,10184.1,946.7,49.40,1.75,0.72,1.33,946.7,946.7,149.4,360.6,995.5,-1814.2,1339.0,520.3,-1163.7,-1015.2,-4.22,37.43
NWL,2014-12-01,6564.3,4709.4,1854.9,268.5,6.88,-1581.8,-5.88,2493.7,2294.3,5727.0,779.8,20.74,1.37,1.62,0.66,840.4,779.8,447.5,377.8,634.1,-751.9,119,-26.9,499.4,537.2,1.71,38.09
LEN,2012-11-01,10362.2,6361.0,4001.2,195.8,17.48,3380.7,17.30,5037.5,3785.3,4105.1,295.8,21.56,3.51,0.85,0.16,295.8,295.8,161.1,679.1,-424.6,245.3,326.5,147.1,92.9,130.4,-2.25,37.39
ADP,2012-06-01,30817.4,24703.4,6114.0,484.5,12.63,2363.7,4.88,16.8,-1561.7,10595.4,1938.6,21.74,2.85,2.59,1.55,2111.1,1938.6,1262.1,1388.5,1910.2,3243.6,-4953.9,158.7,1300.2,1305.0,3.41,49.21
TCEHY,2014-12-01,27598.5,14357.0,13241.5,9282.0,1.39,11279.9,1.22,5816.3,-2811.7,12726.9,4211.7,1.38,0.42,0.29,0.05,4473.6,4211.7,2649.1,3839.1,5274.3,-4577.2,2958.7,3625.4,3765.0,3852.2,0.46,14.51
ED,2016-12-01,48255.0,33949.0,14306.0,305.1,46.88,13746.0,45.07,15828.0,15052.0,12075.0,2471.0,40.20,4.14,3.86,2.68,2473.0,2471.0,1158.8,1245.0,3459.0,-4950.0,1345.0,-146.0,-2217.4,-1778.6,-5.63,73.68
CDNS,2017-12-01,2418.7,1429.5,989.2,282.9,3.51,44.4,0.16,729.4,36.8,1943.0,334.5,7.14,0.75,0.73,0,391.0,334.5,197.6,204.1,470.7,-191.2,-70.1,222.9,350.0,364.8,1.52,41.82
MKC,2019-11-01,10362.1,6905.4,3456.7,132.9,25.92,-3984.4,-29.98,4324.2,4168.8,5347.4,996.2,40.33,5.30,4.14,2.28,1016.5,996.2,549.6,702.7,946.8,-171.0,-725.8,58.8,634.4,737.6,5.83,169.25
HLF,2016-12-01,2565.4,2369.1,196.3,186.2,1.05,-203.7,-1.09,1447.9,603.9,4488.4,428.4,27.02,1.57,1.26,0,428.4,428.4,209.4,260.0,367.3,-142.4,-252.3,-47.5,245.9,308.0,1.35,24.07
AEE,2018-12-01,27215.0,19442.0,7773.0,244.6,31.21,7220.0,29.53,9036.0,9020.0,6009.0,1427.0,24.65,3.34,2.69,1.85,1427.0,1427.0,655.3,815,2170.0,-2336.0,205,39,-643.8,-413.1,-0.69,65.23
UPS,2019-12-01,57857.0,54574.0,3283.0,858.5,3.81,-2713.0,-3.17,28181.0,22438.0,74094.0,5536.0,85.76,5.14,4.34,3.84,5913.0,5536.0,3748.8,4440.0,8639.0,-6061.0,-1727.0,871,-66.1,342,2.61,117.06
RMD,2019-06-01,4107.7,2035.5,2072.2,143.7,14.42,-306.2,-2.13,1270.9,1123.7,2606.6,636.0,18.21,2.83,2.58,1.50,710.9,636.0,369.1,404.6,459.1,-1075.7,580.6,-41.6,423.4,446.0,2.67,122.03
CTL,2011-12-01,56044.0,35217.0,20827.0,619.6,33.67,-11387.0,-18.41,21836.0,21708.0,15351.0,2492.0,28.81,1.07,1.69,2.90,3925.0,2492.0,899.4,573,4201.0,-3647.0,-577.0,-45.0,2686.5,3356.5,3.36,37.2
GLP,2015-12-01,2663.7,1969.7,694.0,33.5,19.37,137.9,4.12,1266.8,1265.7,10314.9,128.0,320.56,1.12,0.83,2.53,142.3,128.0,26.8,35.9,62.5,-649.8,583.1,-4.1,-53.1,-14.3,-0.95,17.57
BP,2019-12-01,295194.0,194486.0,100708.0,20239.1,4.86,70984.0,3.51,77446.0,54805.0,276850.0,9511.0,13.65,0.20,0.33,0.41,9842.0,9511.0,6787.3,4026.0,25770.0,-16974.0,-8817.0,4,5281.0,6790.4,0.51,37.74
LMT,2017-12-01,46620.0,47396.0,-776.0,285.0,-2.98,-15878.0,-55.71,14263.0,11402.0,49960.0,5593.0,173.59,6.82,11.10,7.46,5905.0,5593.0,3195.0,1963.0,6476.0,-1147.0,-4305.0,1024.0,1512.8,1919.6,18.41,321.05
NGG,2012-03-01,75693.6,60908.3,14785.3,3268.8,4.52,6263.7,1.92,39107.7,34753.3,22118.8,5863.9,6.49,0.90,0.78,0.69,5990.2,5863.9,2673.3,3065.5,6761.0,-3791.5,-3038.3,-68.8,-1170.1,-105.7,0.41,50.66
MBT,2013-12-01,14777.1,9938.3,4838.8,994.4,4.65,2373.8,2.39,6682.7,5305.6,12126.8,3097.0,12.19,2.44,1.61,1.45,3543.0,3097.0,1599.4,2429.9,4850.7,-2942.2,-1678.4,261.7,996.5,1267.5,2.38,20.77
DVN,2017-12-01,30241.0,16137.0,14104.0,526.1,17.63,8413.0,16.02,6928.0,4285.0,6340.0,142,12.19,1.73,-0.56,0.24,169,142,-291.9,898,2909.0,-2199.0,9,725,-217.9,-7.3,2.41,41.4
ATO,2019-09-01,13367.6,7617.4,5750.2,119.3,48.18,5019.5,42.06,3997.0,3972.4,2901.8,749.1,24.76,4.36,3.48,2.10,749.1,749.1,407.3,511.4,968.8,-1683.7,725.7,10.8,-809.7,-754.7,-6.18,113.89
INT,2015-12-01,4525.3,2619.4,1905.9,70.8,26.78,973.6,13.75,772.2,189.7,30381.4,245.7,432.78,2.49,1.99,0.24,276.1,245.7,140.0,174.5,447.5,-144.8,-17.0,280.2,378.2,400,5.65,38.46
BDX,2013-09-01,12149.0,7106.0,5043.0,194.1,25.99,2729.0,14.07,3970.0,1362.0,8054.0,1618.0,41.27,6.63,4.89,1.98,1701.0,1618.0,955,1293.0,1505.0,-311.0,-968.0,219,1207.0,1293.3,4.70,100.02
SINA,2015-12-01,4356.9,1480.3,2876.7,69.9,36.73,2503.3,35.84,795.1,-1414.7,880.7,12.2,14.62,0.43,0.19,0,15.8,12.2,11.7,25.7,328.1,-1025.9,396.4,-319.6,111.7,107.3,4.69,45.59
FSM,2015-12-01,379.7,115.5,264.2,129.2,2.04,264.2,2.04,41.7,-66.5,154.7,9.7,1.20,-0.08,0.03,0,10.0,9.7,4.2,-10.6,54.8,-66.4,41.3,29.4,8.8,9.9,-0.02,2.25
HBI,2018-12-01,7238.2,6366.1,872.1,361.3,2.41,-1925.0,-5.33,3980.6,3547.6,6804.0,924.4,18.72,1.48,1.24,0.60,960.9,924.4,452.3,539.7,643.4,-418.7,-200.5,34.2,470.3,582.6,1.53,12.53
CLPHY,2019-12-01,28441.0,13127.4,15313.5,2526.5,5.55,11451.0,4.53,6884.0,5468.8,10996.5,1800.5,4.35,0.24,0.43,0.40,1929.8,1800.5,1083.3,1096.1,2739.2,-747.4,-1917.8,66.2,588.5,727.7,0.50,10.43
SIRI,2015-12-01,8046.7,8213.2,-166.5,5096.0,-0.03,-4964.9,-0.96,5448.4,5336.5,4570.1,1306.9,0.85,0.09,0.12,0,1358.6,1306.9,637.6,509.7,1244.1,-138.9,-1141.1,-35.9,1996.8,2175.9,0.21,4.07
HAL,2018-12-01,25982.0,16438.0,9544.0,872.5,10.93,6697.0,7.69,10344.0,8336.0,23995.0,2732.0,27.42,1.89,1.48,0.72,2732.0,2732.0,1298.4,1656.0,3157.0,-1993.0,-1419.0,-329.0,904.8,1278.5,1.29,26.58
PAYX,2013-05-01,6163.7,4390.0,1773.7,365.5,4.85,1194.6,3.27,0.0,-505.5,2326.2,904.8,6.39,1.56,1.57,1.31,923.8,904.8,569.6,569,675.3,181.7,-858.5,-1.5,542.7,542.8,1.58,37.23
PEP,2012-12-01,74638.0,52239.0,22399.0,1542.8,14.52,-11079.0,-7.18,28359.0,21740.0,65492.0,9552.0,42.06,3.96,3.49,2.13,9671.0,9552.0,5429.0,6178.0,8479.0,-3005.0,-3306.0,2230.0,6896.1,7458.0,3.70,68.43
REGN,2013-12-01,2951.0,998.9,1952.1,99.4,19.69,1952.1,19.69,505.6,-188.3,2104.7,743.1,21.50,4.23,4.46,0,743.1,743.1,436.4,413.7,588.6,-355.5,72.2,305.3,466.3,495.4,4.41,275.24
DTE,2010-12-01,24896.0,18129.0,6767.0,169.4,39.67,4635.0,27.36,8164.0,8099.0,8525.0,1418.0,50.74,3.75,3.33,2.18,1422.0,1418.0,559.8,630,1825.0,-1226.0,-586.0,13,265.9,605.3,4.32,45.32
NDAQ,2019-12-01,13924.0,8285.0,5639.0,165.0,34.16,-2976.0,-18.03,3779.0,3325.0,4262.0,1137.0,25.84,4.69,4.10,1.85,1238.0,1137.0,675.6,774,963,-240.0,-937.0,-224.0,742.1,819.6,5.07,107.1
F,2014-12-01,208615.0,183808.0,24807.0,3955.9,6.18,24305.0,6.14,119171.0,97469.0,144077.0,709,36.83,0.31,0.35,0.50,709,709,1359.1,1231.0,14507.0,-21124.0,3423.0,-3711.0,-1439.0,-940.9,1.80,14.96
